title,year,Show_type,Source,Subscription,content_type,Added_to_site,Updated_at_DB
Smile,2020,MO,Amazon,New Prime,Recently_Added,"Apr 04, 2020","Apr 05, 2020"
Sodura,2015,MO,Amazon,New Prime,Recently_Added,"Apr 04, 2020","Apr 05, 2020"
Strawberry Shortcake Sky's the Limit,2009,MO,Amazon,Purchase,Recently_Added,"Apr 04, 2020","Apr 05, 2020"
Sweet Smell of Success,1957,MO,Amazon,New Prime,Recently_Added,"Apr 04, 2020","Apr 05, 2020"
Teen Wolf Too,1987,MO,Amazon,New Prime,Recently_Added,"Apr 04, 2020","Apr 05, 2020"
Templars The Da Vinci Code Secrets,2020,MO,Amazon,New Prime,Recently_Added,"Apr 04, 2020","Apr 05, 2020"
The Art House,2014,MO,Amazon,New Prime,Recently_Added,"Apr 04, 2020","Apr 05, 2020"
The Cure,2018,MO,Amazon,New Prime,Recently_Added,"Apr 04, 2020","Apr 05, 2020"
The Haunting of Borley Manor,2019,MO,Amazon,Purchase,Recently_Added,"Apr 04, 2020","Apr 05, 2020"
The Haunting of Molly Hartley,2008,MO,Amazon,New Prime,Recently_Added,"Apr 04, 2020","Apr 05, 2020"
The Healer,2020,MO,Amazon,Purchase,Recently_Added,"Apr 04, 2020","Apr 05, 2020"
The Image Revolution,2014,MO,Amazon,New Prime,Recently_Added,"Apr 04, 2020","Apr 05, 2020"
The Invocation,2018,MO,Amazon,New Prime,Recently_Added,"Apr 04, 2020","Apr 05, 2020"
The Long Goodbye,1973,MO,Amazon,New Prime,Recently_Added,"Apr 04, 2020","Apr 05, 2020"
The Long Riders,1980,MO,Amazon,New Prime,Recently_Added,"Apr 04, 2020","Apr 05, 2020"
The love Between Us,2020,MO,Amazon,Purchase,Recently_Added,"Apr 04, 2020","Apr 05, 2020"
The Mountain Minor,2019,MO,Amazon,New Prime,Recently_Added,"Apr 04, 2020","Apr 05, 2020"
The Numbers,2018,MO,Amazon,New Prime,Recently_Added,"Apr 04, 2020","Apr 05, 2020"
